2025-09-22 13:22:15,203 | INFO | autoreload | run_with_reloader | 668 | Watching for file changes with StatReloader
2025-09-22 13:22:27,224 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:28,199 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:29,373 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:34,683 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:34,972 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:35,020 | INFO | basehttp | log_message | 212 | "GET /static/img/favicon.ico HTTP/1.1" 304 0
2025-09-22 13:22:35,711 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:39,931 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:40,176 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:40,848 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:45,257 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:45,519 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:46,348 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:53,300 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:54,668 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:55,261 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:55,661 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:55,873 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:56,462 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:22:58,894 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:22:59,110 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:22:59,551 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:05,897 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:07,949 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:07,955 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:08,486 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:09,595 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:09,748 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:09,754 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:09,823 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:09,984 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:10,373 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 53675)
2025-09-22 13:23:10,388 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:10,395 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:10,396 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:10,563 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:10,616 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 52519)
2025-09-22 13:23:10,726 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:10,881 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,055 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,064 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 55619)
2025-09-22 13:23:11,220 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:11,230 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:11,258 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,386 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:11,402 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:11,435 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,577 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,766 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:11,775 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:11,804 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:11,932 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,096 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,295 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,309 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:12,333 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 55863)
2025-09-22 13:23:12,467 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,562 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 51154)
2025-09-22 13:23:12,630 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,778 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:12,787 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:12,820 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,962 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:12,964 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 54083)
2025-09-22 13:23:13,109 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:13,262 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:13,438 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30407
2025-09-22 13:23:13,561 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 60007)
2025-09-22 13:23:13,855 | WARNING | log | log_response | 241 | Forbidden: /api/admin/stats/
2025-09-22 13:23:13,862 | WARNING | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 403 63
2025-09-22 13:23:13,864 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 56284)
2025-09-22 13:23:14,007 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 49179)
2025-09-22 13:23:14,360 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:17,232 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:17,496 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:17,940 | INFO | basehttp | log_message | 212 | "GET /api/public-tree/ HTTP/1.1" 200 11723
2025-09-22 13:23:22,591 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:22,852 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:22,857 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:23,177 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:23,605 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:23,739 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 62548)
2025-09-22 13:23:23,827 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:23,843 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 61820)
2025-09-22 13:23:24,144 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:24,417 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
2025-09-22 13:23:24,419 | INFO | basehttp | handle_error | 81 | - Broken pipe from ('127.0.0.1', 57142)
2025-09-22 13:23:24,717 | INFO | basehttp | log_message | 212 | "GET /api/admin/stats/ HTTP/1.1" 200 123
2025-09-22 13:23:24,739 | INFO | basehttp | log_message | 212 | "GET / HTTP/1.1" 200 30496
